key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANSAH205_01394_SEQ_00","諾布養育場的荷烏心存憂慮。"
1,"TEXT_BANSAH205_01394_SEQ_01","荷烏委託冒險者去燒毀薩普沙產卵地裡的<hex:02280CFF05>EObj<hex:F61E93670103>。使用<hex:022811FF0A>EventItem<hex:F61E896F0103>燒掉4堆薩普沙產卵地裡的<hex:02280CFF05>EObj<hex:F61E93670103>，如果有<hex:02280FFF09>BNpcName<hex:F20A790103>、<hex:02280FFF09>BNpcName<hex:F20A770103>或<hex:02280FFF09>BNpcName<hex:F20A780103>發起攻擊，就將其討伐。"
2,"TEXT_BANSAH205_01394_SEQ_02","燒掉了所有的<hex:02280CFF05>EObj<hex:F61E93670103>，並討伐了發起攻擊的珊瑚尖槍成員。向諾布養育場的荷烏報告。"
3,"TEXT_BANSAH205_01394_SEQ_03","向荷烏報告了燒掉<hex:02280CFF05>EObj<hex:F61E93670103>一事。魚人族居住在海中，沒有用木材及金屬製作東西的風習。今後也協助荷烏對珊瑚尖槍進行警戒，防止他們把人類的武具用於逞凶。"
4,"TEXT_BANSAH205_01394_SEQ_04",""
5,"TEXT_BANSAH205_01394_SEQ_05",""
6,"TEXT_BANSAH205_01394_SEQ_06",""
7,"TEXT_BANSAH205_01394_SEQ_07",""
8,"TEXT_BANSAH205_01394_SEQ_08",""
9,"TEXT_BANSAH205_01394_SEQ_09",""
10,"TEXT_BANSAH205_01394_SEQ_10",""
11,"TEXT_BANSAH205_01394_SEQ_11",""
12,"TEXT_BANSAH205_01394_SEQ_12",""
13,"TEXT_BANSAH205_01394_SEQ_13",""
14,"TEXT_BANSAH205_01394_SEQ_14",""
15,"TEXT_BANSAH205_01394_SEQ_15",""
16,"TEXT_BANSAH205_01394_SEQ_16",""
17,"TEXT_BANSAH205_01394_SEQ_17",""
18,"TEXT_BANSAH205_01394_SEQ_18",""
19,"TEXT_BANSAH205_01394_SEQ_19",""
20,"TEXT_BANSAH205_01394_SEQ_20",""
21,"TEXT_BANSAH205_01394_SEQ_21",""
22,"TEXT_BANSAH205_01394_SEQ_22",""
23,"TEXT_BANSAH205_01394_SEQ_23",""
24,"TEXT_BANSAH205_01394_TODO_00","使用<hex:022811FF0A>EventItem<hex:F61E896F0103>燒掉薩普沙產卵地的<hex:02280CFF05>EObj<hex:F61E93670103><hex:02100103>打倒隨之出現的珊瑚尖槍成員"
25,"TEXT_BANSAH205_01394_TODO_01","向荷烏報告"
26,"TEXT_BANSAH205_01394_TODO_02",""
27,"TEXT_BANSAH205_01394_TODO_03",""
28,"TEXT_BANSAH205_01394_TODO_04",""
29,"TEXT_BANSAH205_01394_TODO_05",""
30,"TEXT_BANSAH205_01394_TODO_06",""
31,"TEXT_BANSAH205_01394_TODO_07",""
32,"TEXT_BANSAH205_01394_TODO_08",""
33,"TEXT_BANSAH205_01394_TODO_09",""
34,"TEXT_BANSAH205_01394_TODO_10",""
35,"TEXT_BANSAH205_01394_TODO_11",""
36,"TEXT_BANSAH205_01394_TODO_12",""
37,"TEXT_BANSAH205_01394_TODO_13",""
38,"TEXT_BANSAH205_01394_TODO_14",""
39,"TEXT_BANSAH205_01394_TODO_15",""
40,"TEXT_BANSAH205_01394_TODO_16",""
41,"TEXT_BANSAH205_01394_TODO_17",""
42,"TEXT_BANSAH205_01394_TODO_18",""
43,"TEXT_BANSAH205_01394_TODO_19",""
44,"TEXT_BANSAH205_01394_TODO_20",""
45,"TEXT_BANSAH205_01394_TODO_21",""
46,"TEXT_BANSAH205_01394_TODO_22",""
47,"TEXT_BANSAH205_01394_TODO_23",""
48,"TEXT_BANSAH205_01394_HOUU_000_000","呼嘶……聽說海蛇之舌又襲擊了無鰭類的商船，<hex:02100103>而且從上面奪取了大量的武具……"
49,"TEXT_BANSAH205_01394_HOUU_000_001","海中暫且不提，<hex:02100103>不得不承認，在陸地上的話無鰭類的武具還是很有用的……<hex:02100103>如果那些武具被交給了珊瑚尖槍，那就有些麻煩了……"
50,"TEXT_BANSAH205_01394_HOUU_000_002","呼嘶……<hex:02100103>你用<hex:022811FF0A>EventItem<hex:F61E896F0103>去燒掉薩普沙產卵地裡的<hex:02280CFF05>EObj<hex:F61E93670103>。<hex:02100103>如果敵人來妨礙就一律打倒！"
51,"TEXT_BANSAH205_01394_HOUU_000_010","呼嘶……<hex:02100103>請你用<hex:022811FF0A>EventItem<hex:F61E896F0103>去燒掉那些被運進薩普沙產卵地的武具。<hex:02100103>如果讓它們落到珊瑚尖槍手裡就會很麻煩……"
52,"TEXT_BANSAH205_01394_HOUU_000_020","呼嘶……全都燒掉了嗎？<hex:02100103>我挺怕火的……有你幫忙真是太好了……"
53,"TEXT_BANSAH205_01394_HOUU_000_021","呼嘶……對於生活在海中的我們來說，<hex:02100103>沒有加工木材或鐵的風習……<hex:02100103>所以製作不出人類使用的那些武具……"
54,"TEXT_BANSAH205_01394_HOUU_000_022","你們雖然沒有鰭，游泳也很慢……<hex:02100103>但是手真是靈巧呢……呼嘶……"
55,"TEXT_BANSAH205_01394_POPMESSAGE_000_000","察覺到了敵人的氣息！"
56,"TEXT_BANSAH205_01394_BALLOON_000_030","呼嘶……你在幹什麼？！"
57,"TEXT_BANSAH205_01394_BALLOON_000_031","呼嘶……是無鰭類！"
58,"TEXT_BANSAH205_01394_BALLOON_000_032","呼嘶……可惡的傢伙，<hex:02100103>居然把我們貴重的武具給毀了！"
