key,0,1,2,3,4,5
#,Description,Item,GatheringItemLevel,FishingRecordType,TerritoryType,IsVisible
offset,0,4,8,12,10,13
int32,str,Item,GatheringItemLevelConvertTable,FishingRecordType,TerritoryType,bit&01
0,"",0,0,0,0,False
20000,"這種螺的特徵是擁有像旋轉樓梯一樣的殼。它的殼非常脆弱，所以那些形狀完好的旋螺就成了收藏家們的心頭好。",20144,205,26,613,True
20001,"雖然雌性的魚身是黑色的，不過隨著成長會變成雄性，並且顏色也會變得鮮豔。為了保護自己會釋放毒性粘液。",20145,205,11,613,True
20002,"在大海中悠然自得游來游去的巨型鰩。甲人族當作騎獸的斑鰩就是由這種飛鰩馴化而來的。",20146,205,12,613,True
20003,"從近東拉札罕而來的使者向遠東之國的幕府獻上了這種魚。在放養之後，不知何時就定居在了這裡。",20147,205,26,613,True
20004,"和刺足龍蝦共存，會捕食被引誘過來的章魚。對於鱔魚來說，刺足龍蝦只不過是吸引好吃的過來的誘餌而已。",20148,205,11,613,True
20005,"在多瑪的傳說中，據說有一隻悠閒自得的跳蝦虎會思考和詢問「生的意義」這種深奧的問題。",20149,205,26,614,True
20006,"這種魚靠著堅硬的魚鱗從捕食者的口中逃脫，不過自己會胡亂捕食比自己小的魚或甲殼類生物。在多瑪，人們把它當做頑強的象徵。",20150,205,15,614,True
20007,"從魚鉤上奪取食物的第一魚。因此捕魚人們打心底裡討厭這種魚。",20151,205,14,614,True
20008,"雖然和多瑪鰻比起來體型較大，但是味道就遜色多了。因此價格也很便宜，這點倒是不錯。",20152,205,15,614,True
20009,"十分罕見的生活在淡水中的寄居蟹。它會利用寄居的殼保護自己，隨著成長還會尋找新的殼住進去。",20153,205,26,614,True
20010,"自古以來一直保持著原始姿態的蟹。個頭大一點的個體其巨鉗伸展能有兩個成年人族男性那麼大。",20154,210,12,613,True
20011,"外凸的額頭和長長的鼻子十分顯眼，因此被稱作海中的天狗。在薩維奈，曾流傳過一陣這種魚可以製作長生不老靈藥的謠言，導致被濫捕。",20155,210,11,613,True
20012,"擁有巨大背鰭和尾鰭的珍稀魚類。平時棲息在深海，因此很少能看到這種魚。其魚鰭的用途和生活習性尚有很多未解之謎。",20156,210,12,613,True
20013,"這種魚在幼年時期是黑白相間的花紋，隨著成長形態會發生改變。因此之前一直以為它的幼體是另外一種鯊魚，這一點直到近些年才真相大白。",20157,210,12,613,True
20014,"這種螺看上去就像瘮人的白骨一般，因此自古以來都被認為擁有驅魔的效果，甚至有的海賊眾也會把這種螺戴在身上。",20158,210,26,613,True
20015,"這種魚游起來十分笨重，雖然是魚但看上去很不擅長游泳。因為它會抖動長有擬餌的突起來釣甲殼類生物或魚，所以被稱作漁魚。",20159,210,14,614,True
20016,"附著在河底的水藻之間或岩石上的小型螺。是許多生物的食糧，位於食物鏈最底端。",20160,210,13,614,True
20017,"一種沒有鬍鬚的鯉魚。在以水藻和果實為食的魚類之中算是體型最大的了，最大能長得比一個魯加族大漢還要大。",20161,210,15,614,True
20018,"腦袋異常大的魚。其體內有許多發光器官，能夠發出光芒，因此漁民們認為它們是靈魂的搬運工。",20162,215,10,613,True
20019,"這種魚在游的時候拖著長長的絲狀魚鰭。雖然也不是不能吃，但不僅口感很腥，而且據說很容易導致食物中毒。",20163,215,11,613,True
20020,"因為這種魚的臉長得很像遠東之國一種名叫「狆」的犬種，所以才會被叫成這個名字。但實際上一點也不像。",20164,215,10,613,True
20021,"在遠東之國被當做十分貴重的高級食材。但對於其他國家的人來說，它的樣子如同虛無界的妖異一般令人毛骨悚然。",20165,215,10,613,True
