key,0,1,2
#,,,
offset,4,5,0
int32,byte,bit&01,str
0,4,True,""
1,7,False,"魔導裝甲的殘骸。
這裡難道經歷了激烈的戰鬥？"
2,7,False,"久經使用的劍和盾。
看起來不像是加雷馬帝國軍的裝備。
它們的主人究竟是誰？"
3,4,True,"好像是西德年輕時記錄的衛月觀測數據。
上面書寫著整整齊齊的文字和複雜的公式。

根據西德推測，
衛月擁有收集太陽能後進行轉換、輸送的機能。

如果在未做好接收準備的情況下啟動衛月，
積蓄了數千年的龐大能量將會從天而降，
造成重大的事故。"
4,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……"
7,7,False,"看樣子是遭到了被控制的帝國兵襲擊，已經咽氣了。
從懷中搜到了軍用恢復藥。"
8,7,False,"看樣子是曾經拚命抵抗過，但已經咽氣了。
從懷中搜到了軍用恢復藥。"
9,7,False,"腿部受損的魔導死神。
機器還留有餘溫，不久之前應該還被人駕駛過。
要是有認證秘鑰以及燃料的話或許就能啟動了。
用這台機器的魔導加農炮，
也許能掃清正面的敵人……"
10,7,False,"腿部受損的魔導死神。
使用了認證秘鑰，但因為缺少燃料無法啟動。
尋找魔導死神的殘骸，搜索燃料。"
11,7,False,"魔導死神的殘骸。
駕駛席的量表顯示還殘留著燃料。
看樣子可以拆下青磷水箱。"
12,7,False,"腿部受損的魔導死神。
在剛才的戰鬥中徹底損毀，失去了戰鬥能力。"
13,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……"
14,7,False,"魔導死神的殘骸。
駕駛席的量表顯示還殘留著燃料，
但受損十分嚴重，已經無法再次使用了……"
15,7,False,"已經咽氣了。
如果是自己的身體，是否能拯救他呢……"
16,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……"
17,7,False,"疑似是新兵的帝國兵已經咽氣了。
從懷中搜到了軍用恢復藥。"
19,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了帝國式強壯劑！"
20,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用恢復藥！"
21,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用恢復藥！"
22,7,False,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用恢復藥！"
23,7,False,"已經咽氣了。"
24,7,False,"看樣子是從背後遭到了襲擊，已經咽氣了。
從懷中搜到了軍用恢復藥！"
25,7,False,"已經咽氣了。"
26,7,False,"破爛的小麻袋。
從裡面發現了軍用恢復藥！"
27,7,False,"破爛的小麻袋。
從裡面發現了帝國式恢復劑！"
28,7,False,"腿部受損的魔導死神。
補充了燃料，但因為缺少認證秘鑰無法啟動。
搜索一下看看原本的駕駛員有沒有躲在附近。"
29,7,False,"水面泛起了波紋，開始產生細小的氣泡……
想像了一下葉小妖的幼崽在葉片的後面扎堆的情景。"
30,7,False,"在葉片的表面有被踐踏的痕跡。
是誰在打水時留下的嗎？"
31,7,False,"在水底發現了被植物寄生的動物屍骸。
是在尋找食物的時候迷路了嗎？"
32,7,False,"發現了有輕微燒焦痕跡的水草。
很像是賢者的攻擊術式留下的……"
