key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANQIQ031_03802_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整（限定職業）<hex:0249020103><hex:0248020103><hex:02100103>霍啪櫨古盤的其嗒盧利·那嗵櫨，主張維斯族「狩獵奇塔利族學說」。"
1,"TEXT_BANQIQ031_03802_SEQ_01","※本任務為<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等級調整（限定職業）任務，<hex:02100103>　需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>和其嗒盧利·那嗵櫨進行了交談。即將根據他的說法復原石碑。再次和其嗒盧利·那嗵櫨談談。"
2,"TEXT_BANQIQ031_03802_SEQ_02","盧利採掘隊的奇塔利們復原了第二石碑之後，都非常高興。今後也繼續幫助他們採掘吧！"
3,"TEXT_BANQIQ031_03802_SEQ_03",""
4,"TEXT_BANQIQ031_03802_SEQ_04",""
5,"TEXT_BANQIQ031_03802_SEQ_05",""
6,"TEXT_BANQIQ031_03802_SEQ_06",""
7,"TEXT_BANQIQ031_03802_SEQ_07",""
8,"TEXT_BANQIQ031_03802_SEQ_08",""
9,"TEXT_BANQIQ031_03802_SEQ_09",""
10,"TEXT_BANQIQ031_03802_SEQ_10",""
11,"TEXT_BANQIQ031_03802_SEQ_11",""
12,"TEXT_BANQIQ031_03802_SEQ_12",""
13,"TEXT_BANQIQ031_03802_SEQ_13",""
14,"TEXT_BANQIQ031_03802_SEQ_14",""
15,"TEXT_BANQIQ031_03802_SEQ_15",""
16,"TEXT_BANQIQ031_03802_SEQ_16",""
17,"TEXT_BANQIQ031_03802_SEQ_17",""
18,"TEXT_BANQIQ031_03802_SEQ_18",""
19,"TEXT_BANQIQ031_03802_SEQ_19",""
20,"TEXT_BANQIQ031_03802_SEQ_20",""
21,"TEXT_BANQIQ031_03802_SEQ_21",""
22,"TEXT_BANQIQ031_03802_SEQ_22",""
23,"TEXT_BANQIQ031_03802_SEQ_23",""
24,"TEXT_BANQIQ031_03802_TODO_00","和其嗒盧利·那嗵櫨對話"
25,"TEXT_BANQIQ031_03802_TODO_01",""
26,"TEXT_BANQIQ031_03802_TODO_02",""
27,"TEXT_BANQIQ031_03802_TODO_03",""
28,"TEXT_BANQIQ031_03802_TODO_04",""
29,"TEXT_BANQIQ031_03802_TODO_05",""
30,"TEXT_BANQIQ031_03802_TODO_06",""
31,"TEXT_BANQIQ031_03802_TODO_07",""
32,"TEXT_BANQIQ031_03802_TODO_08",""
33,"TEXT_BANQIQ031_03802_TODO_09",""
34,"TEXT_BANQIQ031_03802_TODO_10",""
35,"TEXT_BANQIQ031_03802_TODO_11",""
36,"TEXT_BANQIQ031_03802_TODO_12",""
37,"TEXT_BANQIQ031_03802_TODO_13",""
38,"TEXT_BANQIQ031_03802_TODO_14",""
39,"TEXT_BANQIQ031_03802_TODO_15",""
40,"TEXT_BANQIQ031_03802_TODO_16",""
41,"TEXT_BANQIQ031_03802_TODO_17",""
42,"TEXT_BANQIQ031_03802_TODO_18",""
43,"TEXT_BANQIQ031_03802_TODO_19",""
44,"TEXT_BANQIQ031_03802_TODO_20",""
45,"TEXT_BANQIQ031_03802_TODO_21",""
46,"TEXT_BANQIQ031_03802_TODO_22",""
47,"TEXT_BANQIQ031_03802_TODO_23",""
48,"TEXT_BANQIQ031_03802_QITARLNATL_000_001","爾支持某主張的維斯族「狩獵奇塔利族學說」嗎？"
49,"TEXT_BANQIQ031_03802_QITARLNATL_000_002","第二石碑上刻著的，是維斯族和奇塔利相遇時的記憶。<hex:02100103>持弓的維斯族把初次見到的奇塔利族當成了獵物，<hex:02100103>險些成為隆卡之敵是也。"
50,"TEXT_BANQIQ031_03802_SYSTEM_000_003","根據其嗒盧利·那嗵櫨的說法復原石碑之後，<hex:02100103>將無法看到根據茶咕盧利·柯呫櫨的說法復原的結果。"
51,"TEXT_BANQIQ031_03802_SYSTEM_000_004","此外，無論選擇哪方，能夠獲得的道具<hex:02100103>以及今後的任務內容都將完全一樣。<hex:02100103>請選擇你認為應該被傳承下去的歷史。"
52,"TEXT_BANQIQ031_03802_Q1_000_000","要支持其嗒盧利·那嗵櫨的說法，<hex:02100103>推進劇情嗎？"
53,"TEXT_BANQIQ031_03802_QITARLNATL_000_005","嗯！<hex:02100103>既然是隆卡的同盟者做出的選擇，<hex:02100103>那大家肯定都會接受！"
54,"TEXT_BANQIQ031_03802_CHAQURLQHOTL_000_006","原來<hex:022903EB0203>閣下是這麼想的啊……<hex:02100103>嗯，姆也會幫忙復原石碑的！"
55,"TEXT_BANQIQ031_03802_QITARLNATL_000_007","第二石碑終於要復甦了！<hex:02100103>希望<hex:022903EB0203>閣下也能和某等共同見證這一刻！<hex:02100103>請爾做好準備之後再和某說一聲吧！"
56,"TEXT_BANQIQ031_03802_QITARLNATL_000_008","那麼，就請採掘隊的工匠們復原石碑吧！"
57,"TEXT_BANQIQ031_03802_SYSTEM_000_010","根據其嗒盧利·那嗵櫨的「狩獵奇塔利族學說」，<hex:02100103>復原了第二石碑！"
58,"TEXT_BANQIQ031_03802_SYSTEM_000_011","盧利採掘隊的奇塔利們在維斯族幫忙設立的祭壇<hex:02100103>和復甦的石碑的激勵下，越來越專注於採掘工作了！<hex:02100103>繼續幫助他們，期待洞窟遺跡內有新的發現吧！"
59,"TEXT_BANQIQ031_03802_SYSTEM_100_010","根據茶咕盧利·柯呫櫨的「歡迎維斯族學說」，<hex:02100103>復原了第二石碑！"
60,"TEXT_BANQIQ031_03802_SYSTEM_100_011","盧利採掘隊的奇塔利們在維斯族幫忙設立的祭壇<hex:02100103>和復甦的石碑的激勵下，越來越專注於採掘工作了！<hex:02100103>繼續幫助他們，期待洞窟遺跡內有新的發現吧！"
