key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_JOBBRD300_01085_SEQ_00","弓箭手公會的呂西安娜，想要教給冒險者學習新技能的方法。"
1,"TEXT_JOBBRD300_01085_SEQ_01","接受了呂西安娜的委託。和南部林區石場水車西面的吟遊詩人讓泰爾談談。"
2,"TEXT_JOBBRD300_01085_SEQ_02","向讓泰爾請教詩歌后，被指示去和一個莫古力族見面。和南部林區石場水車東面的普庫諾·珀奇對話。"
3,"TEXT_JOBBRD300_01085_SEQ_03","和普庫諾·珀奇進行了交談。調查南部林區枯葉堆的<hex:02280CFF05>EObj<hex:F61E8DBC0103>。"
4,"TEXT_JOBBRD300_01085_SEQ_04","成功取回了<hex:022811FF0A>EventItem<hex:F61E87AD0103>。將其交給南部林區石場水車東面的普庫諾·珀奇。"
5,"TEXT_JOBBRD300_01085_SEQ_05","讓普庫諾·珀奇查看了<hex:022811FF0A>EventItem<hex:F61E87AD0103>。將<hex:022811FF0A>EventItem<hex:F61E87AD0103>交給南部林區石場水車西面的吟遊詩人讓泰爾。"
6,"TEXT_JOBBRD300_01085_SEQ_06","將<hex:022811FF0A>EventItem<hex:F61E87AD0103>交給了讓泰爾，並傳達了普庫諾·珀奇的口信。交給讓泰爾的<hex:022811FF0A>EventItem<hex:F61E87AD0103>，其實是<hex:022811FF05>Item<hex:FF08>　4546<hex:0103>。為了成為超越普庫諾·珀奇想像的吟遊詩人，努力磨練技藝。<hex:02100103><hex:02100103>※吟遊詩人的等級達到35級以上時，可以從讓泰爾那裡領取下一個吟遊詩人任務。"
7,"TEXT_JOBBRD300_01085_SEQ_07",""
8,"TEXT_JOBBRD300_01085_SEQ_08",""
9,"TEXT_JOBBRD300_01085_SEQ_09",""
10,"TEXT_JOBBRD300_01085_SEQ_10",""
11,"TEXT_JOBBRD300_01085_SEQ_11",""
12,"TEXT_JOBBRD300_01085_SEQ_12",""
13,"TEXT_JOBBRD300_01085_SEQ_13",""
14,"TEXT_JOBBRD300_01085_SEQ_14",""
15,"TEXT_JOBBRD300_01085_SEQ_15",""
16,"TEXT_JOBBRD300_01085_SEQ_16",""
17,"TEXT_JOBBRD300_01085_SEQ_17",""
18,"TEXT_JOBBRD300_01085_SEQ_18",""
19,"TEXT_JOBBRD300_01085_SEQ_19",""
20,"TEXT_JOBBRD300_01085_SEQ_20",""
21,"TEXT_JOBBRD300_01085_SEQ_21",""
22,"TEXT_JOBBRD300_01085_SEQ_22",""
23,"TEXT_JOBBRD300_01085_SEQ_23",""
24,"TEXT_JOBBRD300_01085_TODO_00","和石場水車西邊的讓泰爾對話"
25,"TEXT_JOBBRD300_01085_TODO_01","和普庫諾·珀奇對話"
26,"TEXT_JOBBRD300_01085_TODO_02","調查<hex:02280CFF05>EObj<hex:F61E8DBC0103>"
27,"TEXT_JOBBRD300_01085_TODO_03","讓普庫諾·珀奇查看<hex:022811FF0A>EventItem<hex:F61E87AD0103>"
28,"TEXT_JOBBRD300_01085_TODO_04","將<hex:022811FF0A>EventItem<hex:F61E87AD0103>交給讓泰爾"
29,"TEXT_JOBBRD300_01085_TODO_05",""
30,"TEXT_JOBBRD300_01085_TODO_06",""
31,"TEXT_JOBBRD300_01085_TODO_07",""
32,"TEXT_JOBBRD300_01085_TODO_08",""
33,"TEXT_JOBBRD300_01085_TODO_09",""
34,"TEXT_JOBBRD300_01085_TODO_10",""
35,"TEXT_JOBBRD300_01085_TODO_11",""
36,"TEXT_JOBBRD300_01085_TODO_12",""
37,"TEXT_JOBBRD300_01085_TODO_13",""
38,"TEXT_JOBBRD300_01085_TODO_14",""
39,"TEXT_JOBBRD300_01085_TODO_15",""
40,"TEXT_JOBBRD300_01085_TODO_16",""
41,"TEXT_JOBBRD300_01085_TODO_17",""
42,"TEXT_JOBBRD300_01085_TODO_18",""
43,"TEXT_JOBBRD300_01085_TODO_19",""
44,"TEXT_JOBBRD300_01085_TODO_20",""
45,"TEXT_JOBBRD300_01085_TODO_21",""
46,"TEXT_JOBBRD300_01085_TODO_22",""
47,"TEXT_JOBBRD300_01085_TODO_23",""
48,"TEXT_JOBBRD300_01085_LUCIANE_000_001","<hex:022903EB0203>，黑衣森林又出現了鳥人軍的氣球。<hex:02100103>"
49,"TEXT_JOBBRD300_01085_LUCIANE_000_002","一看到鳥人族……我就會想起「中央高地慘劇」。<hex:02100103>那是神勇隊遭遇到的一次嚴重失敗。<hex:02100103>……正好也是發生在這個季節。"
50,"TEXT_JOBBRD300_01085_LUCIANE_000_003","當下我們還要提防加雷馬帝國，<hex:02100103>如果不對戰鬥力進行強化，<hex:02100103>那麼很有可能會重蹈覆轍。"
51,"TEXT_JOBBRD300_01085_LUCIANE_000_004","不過，世上還是有好事發生的。<hex:02100103>雖然不是那種能夠讓人一下子歡呼雀躍起來的好事……"
52,"TEXT_JOBBRD300_01085_LUCIANE_000_005","據說，傳說中的吟遊詩人回到了黑衣森林，<hex:02100103>那是一個曾經被稱為神勇隊強弓的男人。"
53,"TEXT_JOBBRD300_01085_LUCIANE_000_006","他的名字叫讓泰爾，是為數不多會吟唱「戰歌」的吟遊詩人，<hex:02100103>那是一種鼓舞同伴的詩歌。<hex:02100103>另外，他的弓術也堪稱神技。"
54,"TEXT_JOBBRD300_01085_LUCIANE_000_007","不過，擁有顯赫戰績的強弓讓泰爾，<hex:02100103>卻在幾十年前離開了神勇隊，從戰場上消失了……"
55,"TEXT_JOBBRD300_01085_LUCIANE_000_008","聽說在那之後，讓泰爾捨棄了弓箭，<hex:02100103>以街頭賣唱的吟遊詩人身份，在各地流浪。"
56,"TEXT_JOBBRD300_01085_LUCIANE_000_009","當然，有許多弓箭手慕名而去向他請教弓術……<hex:02100103>不過，都被他以「只教授詩歌」為由，拒之門外。"
57,"TEXT_JOBBRD300_01085_LUCIANE_000_010","大家明明想要精進的是弓術，並不是詩歌。<hex:02100103>可是，傳說中的吟遊詩人卻對此很冷淡，讓人無可奈何。"
58,"TEXT_JOBBRD300_01085_LUCIANE_000_011","你看，這種好事的確沒辦法讓人歡呼雀躍吧？<hex:02100103>哦？你也想要去見一見這位傳說中的吟遊詩人嗎？<hex:02100103>那我就告訴你他逗留的地點吧。"
59,"TEXT_JOBBRD300_01085_LUCIANE_000_012","這位被稱作強弓的吟遊詩人，<hex:02100103>現在在南部林區「石場水車」的西邊停留。<hex:02100103>他平時還是很平易近人的，應該不會拒絕見你。"
60,"TEXT_JOBBRD300_01085_LUCIANE_000_013","有機會的話，能問一問他捨棄弓箭的理由……<hex:02100103>讓他改變想法就好了。<hex:02100103>不管是為了格里達尼亞也好，還是為了弓術的發展也好。"
61,"TEXT_JOBBRD300_01085_LUCIANE_000_014","不過，這種事就算是你也束手無策吧。<hex:02100103>好了，你去吧，祝你好運。"
62,"TEXT_JOBBRD300_01085_JEHANTEL_000_020","哦，又有客人麼。<hex:02100103>……沒錯，我就是讓泰爾。"
