key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_GAIUSA302_00734_SEQ_00","梅梅盧恩交易站的特特盧恩，有事想請冒險者幫忙。"
1,"TEXT_GAIUSA302_00734_SEQ_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整。建議放棄本任務，前往梅梅盧恩交易站找特特盧恩重新領取。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>※接下來的主線任務可以在主線嚮導中進行確認。在快捷指令的系統中可以找到角色設定，打開角色設定後，在介面設定的介面項中可以顯示或隱藏主線嚮導。"
2,"TEXT_GAIUSA302_00734_SEQ_02","將集齊的材料交給梅梅盧恩交易站的特特盧恩。"
3,"TEXT_GAIUSA302_00734_SEQ_03","有了冒險者收集的材料，製作<hex:022811FF0A>EventItem<hex:F61E86D20103>的準備工作就結束了。距離製作完成還需要一些時間。"
4,"TEXT_GAIUSA302_00734_SEQ_04",""
5,"TEXT_GAIUSA302_00734_SEQ_05",""
6,"TEXT_GAIUSA302_00734_SEQ_06",""
7,"TEXT_GAIUSA302_00734_SEQ_07",""
8,"TEXT_GAIUSA302_00734_SEQ_08",""
9,"TEXT_GAIUSA302_00734_SEQ_09",""
10,"TEXT_GAIUSA302_00734_SEQ_10",""
11,"TEXT_GAIUSA302_00734_SEQ_11",""
12,"TEXT_GAIUSA302_00734_SEQ_12",""
13,"TEXT_GAIUSA302_00734_SEQ_13",""
14,"TEXT_GAIUSA302_00734_SEQ_14",""
15,"TEXT_GAIUSA302_00734_SEQ_15",""
16,"TEXT_GAIUSA302_00734_SEQ_16",""
17,"TEXT_GAIUSA302_00734_SEQ_17",""
18,"TEXT_GAIUSA302_00734_SEQ_18",""
19,"TEXT_GAIUSA302_00734_SEQ_19",""
20,"TEXT_GAIUSA302_00734_SEQ_20",""
21,"TEXT_GAIUSA302_00734_SEQ_21",""
22,"TEXT_GAIUSA302_00734_SEQ_22",""
23,"TEXT_GAIUSA302_00734_SEQ_23",""
24,"TEXT_GAIUSA302_00734_TODO_00","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往梅梅盧恩交易站找特特盧恩重新領取<hex:0249020103><hex:0248020103>"
25,"TEXT_GAIUSA302_00734_TODO_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往梅梅盧恩交易站找特特盧恩重新領取<hex:0249020103><hex:0248020103>"
26,"TEXT_GAIUSA302_00734_TODO_02","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往梅梅盧恩交易站找特特盧恩重新領取<hex:0249020103><hex:0248020103>"
27,"TEXT_GAIUSA302_00734_TODO_03",""
28,"TEXT_GAIUSA302_00734_TODO_04",""
29,"TEXT_GAIUSA302_00734_TODO_05",""
30,"TEXT_GAIUSA302_00734_TODO_06",""
31,"TEXT_GAIUSA302_00734_TODO_07",""
32,"TEXT_GAIUSA302_00734_TODO_08",""
33,"TEXT_GAIUSA302_00734_TODO_09",""
34,"TEXT_GAIUSA302_00734_TODO_10",""
35,"TEXT_GAIUSA302_00734_TODO_11",""
36,"TEXT_GAIUSA302_00734_TODO_12",""
37,"TEXT_GAIUSA302_00734_TODO_13",""
38,"TEXT_GAIUSA302_00734_TODO_14",""
39,"TEXT_GAIUSA302_00734_TODO_15",""
40,"TEXT_GAIUSA302_00734_TODO_16",""
41,"TEXT_GAIUSA302_00734_TODO_17",""
42,"TEXT_GAIUSA302_00734_TODO_18",""
43,"TEXT_GAIUSA302_00734_TODO_19",""
44,"TEXT_GAIUSA302_00734_TODO_20",""
45,"TEXT_GAIUSA302_00734_TODO_21",""
46,"TEXT_GAIUSA302_00734_TODO_22",""
47,"TEXT_GAIUSA302_00734_TODO_23",""
48,"TEXT_GAIUSA302_00734_TETEROON_000_000","特特盧恩，要給巴斯卡隆回禮。<hex:02100103>巴斯卡隆，很喜歡<hex:022811FF0A>EventItem<hex:F61E86D20103>。<hex:02100103>醇香美酒，要鼓起幹勁開始做啦。"
49,"TEXT_GAIUSA302_00734_TETEROON_000_001","你要一起，製作醇香美酒嗎？<hex:02100103>醇香美酒，你能去收集製作的材料嗎？"
50,"TEXT_GAIUSA302_00734_TETEROON_000_002","<hex:022811FF0A>EventItem<hex:F61E86CD0103>，去拿一桶來。<hex:02100103>這個這個，要裝滿哦。<hex:02100103><hex:022811FF0A>EventItem<hex:F61E86CE0103>，要拿來5根。"
51,"TEXT_GAIUSA302_00734_DUMMY_000_010","（在愚者瀑布的指定地點使用空桶裝滿瀑布水）"
52,"TEXT_GAIUSA302_00734_DUMMY_000_011","（討伐<hex:02280DFF09>BNpcName<hex:1D0103>獲取5根<hex:022811FF0A>EventItem<hex:F61E86CD0103>）"
53,"TEXT_GAIUSA302_00734_TETEROON_000_020","醇香美酒，要鼓起幹勁開始做啦。<hex:02100103>材料材料，你都找來了嗎？"
54,"TEXT_GAIUSA302_00734_TETEROON_000_021","醇香美酒，製作材料都集齊啦！<hex:02100103>特特盧恩，實在太感謝你了！"
55,"TEXT_GAIUSA302_00734_TETEROON_000_022","趕快動手，製作醇香美酒。<hex:02100103>醇香美酒，要過一陣才能做好。<hex:02100103>稍微等一段時間吧。"
