key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_GAIUSA801_00785_SEQ_00","秋瓜浮村的開山工埃蒂恩想和冒險者談談最近發現的屍體的事情。"
1,"TEXT_GAIUSA801_00785_SEQ_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整。建議放棄本任務，前往秋瓜浮村找埃蒂恩重新領取。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>※接下來的主線任務可以在主線嚮導中進行確認。在快捷指令的系統中可以找到角色設定，打開角色設定後，在介面設定的介面項中可以顯示或隱藏主線嚮導。"
2,"TEXT_GAIUSA801_00785_SEQ_02","打倒了6隻<hex:02280EFF09>BNpcName<hex:F0E00103>，但是沒發現任何線索。向埃蒂恩報告。"
3,"TEXT_GAIUSA801_00785_SEQ_03","兇手是<hex:02280EFF09>BNpcName<hex:F0E00103>的可能性被消去了。埃蒂恩對面具男和眼球怪產生了懷疑。"
4,"TEXT_GAIUSA801_00785_SEQ_04",""
5,"TEXT_GAIUSA801_00785_SEQ_05",""
6,"TEXT_GAIUSA801_00785_SEQ_06",""
7,"TEXT_GAIUSA801_00785_SEQ_07",""
8,"TEXT_GAIUSA801_00785_SEQ_08",""
9,"TEXT_GAIUSA801_00785_SEQ_09",""
10,"TEXT_GAIUSA801_00785_SEQ_10",""
11,"TEXT_GAIUSA801_00785_SEQ_11",""
12,"TEXT_GAIUSA801_00785_SEQ_12",""
13,"TEXT_GAIUSA801_00785_SEQ_13",""
14,"TEXT_GAIUSA801_00785_SEQ_14",""
15,"TEXT_GAIUSA801_00785_SEQ_15",""
16,"TEXT_GAIUSA801_00785_SEQ_16",""
17,"TEXT_GAIUSA801_00785_SEQ_17",""
18,"TEXT_GAIUSA801_00785_SEQ_18",""
19,"TEXT_GAIUSA801_00785_SEQ_19",""
20,"TEXT_GAIUSA801_00785_SEQ_20",""
21,"TEXT_GAIUSA801_00785_SEQ_21",""
22,"TEXT_GAIUSA801_00785_SEQ_22",""
23,"TEXT_GAIUSA801_00785_SEQ_23",""
24,"TEXT_GAIUSA801_00785_TODO_00","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往秋瓜浮村找埃蒂恩重新領取<hex:0249020103><hex:0248020103>"
25,"TEXT_GAIUSA801_00785_TODO_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往秋瓜浮村找埃蒂恩重新領取<hex:0249020103><hex:0248020103>"
26,"TEXT_GAIUSA801_00785_TODO_02",""
27,"TEXT_GAIUSA801_00785_TODO_03",""
28,"TEXT_GAIUSA801_00785_TODO_04",""
29,"TEXT_GAIUSA801_00785_TODO_05",""
30,"TEXT_GAIUSA801_00785_TODO_06",""
31,"TEXT_GAIUSA801_00785_TODO_07",""
32,"TEXT_GAIUSA801_00785_TODO_08",""
33,"TEXT_GAIUSA801_00785_TODO_09",""
34,"TEXT_GAIUSA801_00785_TODO_10",""
35,"TEXT_GAIUSA801_00785_TODO_11",""
36,"TEXT_GAIUSA801_00785_TODO_12",""
37,"TEXT_GAIUSA801_00785_TODO_13",""
38,"TEXT_GAIUSA801_00785_TODO_14",""
39,"TEXT_GAIUSA801_00785_TODO_15",""
40,"TEXT_GAIUSA801_00785_TODO_16",""
41,"TEXT_GAIUSA801_00785_TODO_17",""
42,"TEXT_GAIUSA801_00785_TODO_18",""
43,"TEXT_GAIUSA801_00785_TODO_19",""
44,"TEXT_GAIUSA801_00785_TODO_20",""
45,"TEXT_GAIUSA801_00785_TODO_21",""
46,"TEXT_GAIUSA801_00785_TODO_22",""
47,"TEXT_GAIUSA801_00785_TODO_23",""
48,"TEXT_GAIUSA801_00785_AIDEEN_000_000","這就要打聽怪異事件的情況嗎？<hex:02100103>其實……最近發現的那些屍體都有個共同之處。<hex:02100103>那就是每個人的臉都……啊呀！"
49,"TEXT_GAIUSA801_00785_AIDEEN_000_001","在這一帶，能給人造成那種傷害的應該只有<hex:02280EFF09>BNpcName<hex:F0E00103>。<hex:02100103>所以，也有人說死者們會不會是被<hex:02280EFF09>BNpcName<hex:F0E00103>襲擊了。"
50,"TEXT_GAIUSA801_00785_AIDEEN_000_002","首先來調查這件事吧。<hex:02100103>這可以查清「面具男」和事件之間的關係！<hex:02100103>你去打倒幾隻<hex:02280EFF09>BNpcName<hex:F0E00103>，確認一下有沒有什麼線索吧！"
51,"TEXT_GAIUSA801_00785_DUMMY_000_010","打倒礦脈附近的席茲"
52,"TEXT_GAIUSA801_00785_AIDEEN_000_020","喔喔，你打倒<hex:02280EFF09>BNpcName<hex:F0E00103>了啊！<hex:02100103>那可怕的尖銳爪牙都一動不動了，真不愧是冒險者！<hex:02100103>對了，有發現什麼線索嗎？"
53,"TEXT_GAIUSA801_00785_AIDEEN_000_021","什麼都沒有的話，被<hex:02280EFF09>BNpcName<hex:F0E00103>襲擊的這個說法怕是站不住腳了。<hex:02100103>那麼……「面具男」和「眼球怪」果然最可疑！"
