key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_GAIUSA403_00745_SEQ_00","妖精暫留地的諾蕾克希亞，十分感謝冒險者。"
1,"TEXT_GAIUSA403_00745_SEQ_01","諾蕾克希亞似乎想報答冒險者。削弱<hex:02280FFF09>BNpcName<hex:F2088B0103>的體力後，對其使用<hex:022811FF0A>EventItem<hex:F61E86D50103>，獲得3份<hex:022811FF0A>EventItem<hex:F61E86D60103>。"
2,"TEXT_GAIUSA403_00745_SEQ_02","成功獲得了<hex:022811FF0A>EventItem<hex:F61E86D60103>。返回妖精暫留地，將<hex:022811FF0A>EventItem<hex:F61E86D60103>交給諾蕾克希亞。"
3,"TEXT_GAIUSA403_00745_SEQ_03","諾蕾克希亞使用<hex:022811FF0A>EventItem<hex:F61E86D60103>為冒險者製作了一件作為護身符的衣服。衣服中飽含諾蕾克希亞的感謝之意，請愛惜使用。"
4,"TEXT_GAIUSA403_00745_SEQ_04",""
5,"TEXT_GAIUSA403_00745_SEQ_05",""
6,"TEXT_GAIUSA403_00745_SEQ_06",""
7,"TEXT_GAIUSA403_00745_SEQ_07",""
8,"TEXT_GAIUSA403_00745_SEQ_08",""
9,"TEXT_GAIUSA403_00745_SEQ_09",""
10,"TEXT_GAIUSA403_00745_SEQ_10",""
11,"TEXT_GAIUSA403_00745_SEQ_11",""
12,"TEXT_GAIUSA403_00745_SEQ_12",""
13,"TEXT_GAIUSA403_00745_SEQ_13",""
14,"TEXT_GAIUSA403_00745_SEQ_14",""
15,"TEXT_GAIUSA403_00745_SEQ_15",""
16,"TEXT_GAIUSA403_00745_SEQ_16",""
17,"TEXT_GAIUSA403_00745_SEQ_17",""
18,"TEXT_GAIUSA403_00745_SEQ_18",""
19,"TEXT_GAIUSA403_00745_SEQ_19",""
20,"TEXT_GAIUSA403_00745_SEQ_20",""
21,"TEXT_GAIUSA403_00745_SEQ_21",""
22,"TEXT_GAIUSA403_00745_SEQ_22",""
23,"TEXT_GAIUSA403_00745_SEQ_23",""
24,"TEXT_GAIUSA403_00745_TODO_00","削弱<hex:02280FFF09>BNpcName<hex:F2088B0103>的體力 使用<hex:022811FF0A>EventItem<hex:F61E86D50103>採集所需物品"
25,"TEXT_GAIUSA403_00745_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E86D60103>交給諾蕾克希亞"
26,"TEXT_GAIUSA403_00745_TODO_02",""
27,"TEXT_GAIUSA403_00745_TODO_03",""
28,"TEXT_GAIUSA403_00745_TODO_04",""
29,"TEXT_GAIUSA403_00745_TODO_05",""
30,"TEXT_GAIUSA403_00745_TODO_06",""
31,"TEXT_GAIUSA403_00745_TODO_07",""
32,"TEXT_GAIUSA403_00745_TODO_08",""
33,"TEXT_GAIUSA403_00745_TODO_09",""
34,"TEXT_GAIUSA403_00745_TODO_10",""
35,"TEXT_GAIUSA403_00745_TODO_11",""
36,"TEXT_GAIUSA403_00745_TODO_12",""
37,"TEXT_GAIUSA403_00745_TODO_13",""
38,"TEXT_GAIUSA403_00745_TODO_14",""
39,"TEXT_GAIUSA403_00745_TODO_15",""
40,"TEXT_GAIUSA403_00745_TODO_16",""
41,"TEXT_GAIUSA403_00745_TODO_17",""
42,"TEXT_GAIUSA403_00745_TODO_18",""
43,"TEXT_GAIUSA403_00745_TODO_19",""
44,"TEXT_GAIUSA403_00745_TODO_20",""
45,"TEXT_GAIUSA403_00745_TODO_21",""
46,"TEXT_GAIUSA403_00745_TODO_22",""
47,"TEXT_GAIUSA403_00745_TODO_23",""
48,"TEXT_GAIUSA403_00745_KNOLEXIA_000_000","你不光搭救了族長大人，還關照了不少我的同伴呼啾。<hex:02100103>我想報答你一下啊呼啾……"
49,"TEXT_GAIUSA403_00745_KNOLEXIA_000_001","對了呼啾！<hex:02100103>請你從<hex:02280FFF09>BNpcName<hex:F2088B0103>身上獲得3份<hex:022811FF0A>EventItem<hex:F61E86D60103>呼啾！"
50,"TEXT_GAIUSA403_00745_KNOLEXIA_000_002","給你這個<hex:022811FF0A>EventItem<hex:F61E86D50103>呼啾。<hex:02100103>在你削弱<hex:02280FFF09>BNpcName<hex:F2088B0103>之後，<hex:02100103>對其使用這個，就能獲得<hex:022811FF0A>EventItem<hex:F61E86D60103>了呼啾！"
51,"TEXT_GAIUSA403_00745_TODO_000_010","討伐3隻沙蚤並獲得沙蚤的鮮血<hex:02100103>（將沙蚤的體力減至四分之一以下後，<hex:02100103>對其使用任務道具即可獲得）"
52,"TEXT_GAIUSA403_00745_KNOLEXIA_000_020","你去打了<hex:02280FFF09>BNpcName<hex:F2088B0103>嗎呼啾？"
53,"TEXT_GAIUSA403_00745_KNOLEXIA_000_021","將這個繞到這邊……<hex:02100103>和線一起……縫起來……"
54,"TEXT_GAIUSA403_00745_KNOLEXIA_000_022","我完成了呼啾！<hex:02100103>這就是為你特製的護身符衣服呼啾！"
55,"TEXT_GAIUSA403_00745_KNOLEXIA_000_023","你是冒險者吧呼啾？<hex:02100103>只要將這個穿在身上，就能遠離危險了呼啾！"
56,"TEXT_GAIUSA403_00745_KNOLEXIA_000_024","這裡面飽含了我的感謝之意呼啾。<hex:02100103>請你一定要收下呼啾！"
