key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANKJN603_02999_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整（限定職業）<hex:0249020103><hex:0248020103><hex:02100103>※本任務需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>碧玉水的頭巾很在意紅甲族的動向。"
1,"TEXT_BANKJN603_02999_SEQ_01",""
2,"TEXT_BANKJN603_02999_SEQ_02",""
3,"TEXT_BANKJN603_02999_SEQ_03",""
4,"TEXT_BANKJN603_02999_SEQ_04",""
5,"TEXT_BANKJN603_02999_SEQ_05",""
6,"TEXT_BANKJN603_02999_SEQ_06",""
7,"TEXT_BANKJN603_02999_SEQ_07",""
8,"TEXT_BANKJN603_02999_SEQ_08",""
9,"TEXT_BANKJN603_02999_SEQ_09",""
10,"TEXT_BANKJN603_02999_SEQ_10",""
11,"TEXT_BANKJN603_02999_SEQ_11",""
12,"TEXT_BANKJN603_02999_SEQ_12",""
13,"TEXT_BANKJN603_02999_SEQ_13",""
14,"TEXT_BANKJN603_02999_SEQ_14",""
15,"TEXT_BANKJN603_02999_SEQ_15",""
16,"TEXT_BANKJN603_02999_SEQ_16",""
17,"TEXT_BANKJN603_02999_SEQ_17",""
18,"TEXT_BANKJN603_02999_SEQ_18",""
19,"TEXT_BANKJN603_02999_SEQ_19",""
20,"TEXT_BANKJN603_02999_SEQ_20",""
21,"TEXT_BANKJN603_02999_SEQ_21",""
22,"TEXT_BANKJN603_02999_SEQ_22",""
23,"TEXT_BANKJN603_02999_SEQ_23",""
24,"TEXT_BANKJN603_02999_TODO_00","在絕鬼島使用<hex:022811FF0A>EventItem<hex:F61E8DF60103> 爆破<hex:02280CFF05>EObj<hex:F61EA8380103>"
25,"TEXT_BANKJN603_02999_TODO_01","向頭巾報告"
26,"TEXT_BANKJN603_02999_TODO_02",""
27,"TEXT_BANKJN603_02999_TODO_03",""
28,"TEXT_BANKJN603_02999_TODO_04",""
29,"TEXT_BANKJN603_02999_TODO_05",""
30,"TEXT_BANKJN603_02999_TODO_06",""
31,"TEXT_BANKJN603_02999_TODO_07",""
32,"TEXT_BANKJN603_02999_TODO_08",""
33,"TEXT_BANKJN603_02999_TODO_09",""
34,"TEXT_BANKJN603_02999_TODO_10",""
35,"TEXT_BANKJN603_02999_TODO_11",""
36,"TEXT_BANKJN603_02999_TODO_12",""
37,"TEXT_BANKJN603_02999_TODO_13",""
38,"TEXT_BANKJN603_02999_TODO_14",""
39,"TEXT_BANKJN603_02999_TODO_15",""
40,"TEXT_BANKJN603_02999_TODO_16",""
41,"TEXT_BANKJN603_02999_TODO_17",""
42,"TEXT_BANKJN603_02999_TODO_18",""
43,"TEXT_BANKJN603_02999_TODO_19",""
44,"TEXT_BANKJN603_02999_TODO_20",""
45,"TEXT_BANKJN603_02999_TODO_21",""
46,"TEXT_BANKJN603_02999_TODO_22",""
47,"TEXT_BANKJN603_02999_TODO_23",""
48,"TEXT_BANKJN603_02999_ZUKIN_000_000","<hex:022903EB0203><hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>，紅甲族的動向很奇怪——<hex:02100103>他們窩在絕鬼島內部，還搬出了帝國的武器，<hex:02100103>有種馬上要去襲擊哪裡的感覺——"
49,"TEXT_BANKJN603_02999_ZUKIN_000_001","說不定這裡會成為他們的目標——<hex:02100103>我想先下手為強破壞掉他們的武器，<hex:02100103>可我們的手，無法熟練地使用炸彈——"
50,"TEXT_BANKJN603_02999_ZUKIN_000_002","<hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>，拜託你了——<hex:02100103>請你潛入絕鬼島，使用這個<hex:022811FF0A>EventItem<hex:F61E8DF60103>，<hex:02100103>破壞掉<hex:02280CFF05>EObj<hex:F61EA8380103>——！"
51,"TEXT_BANKJN603_02999_ZUKIN_100_002","<hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>，你破壞掉帝國的武器了嗎——"
52,"TEXT_BANKJN603_02999_ZUKIN_000_003","你成功了啊——太好了——<hex:02100103>這樣暫時就可以放心了——"
53,"TEXT_BANKJN603_02999_ZUKIN_000_004","但是，那幫傢伙和帝國做了很長時間的交易——<hex:02100103>說不定還留有一些武器——<hex:02100103>下次還要請你繼續幫忙哦——"
