key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_000_0001","請選擇想要領取的通緝令。"
1,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_000_0002","怪物通緝令（每日更新）"
2,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_000_0003","惡名菁英通緝令（每週更新）"
3,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_000_0004","取消"
4,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0001","請選擇想要領取的通緝令。"
5,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0002","初級兵團怪物通緝令（每日更新）"
6,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0003","中級兵團怪物通緝令（每日更新）"
7,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0004","高級兵團怪物通緝令（每日更新）"
8,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0005","兵團惡名菁英通緝令（每週更新）"
9,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0006","取消"
10,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_001_0007","這是張貼怪物狩獵通緝令的告示板。<hex:02100103>目前沒有可領取的通緝令……"
11,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_002_0001","請選擇想要領取的通緝令。"
12,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_002_0002","初級雄兵怪物通緝令（每日更新）"
13,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_002_0003","中級雄兵怪物通緝令（每日更新）"
14,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_002_0004","高級雄兵怪物通緝令（每日更新）"
15,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_002_0005","雄兵惡名菁英通緝令（每週更新）"
16,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_002_0006","取消"
17,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_003_0001","請選擇想要領取的通緝令。"
18,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_003_0002","初級狂熱怪物通緝令（每日更新）"
19,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_003_0003","中級狂熱怪物通緝令（每日更新）"
20,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_003_0004","高級狂熱怪物通緝令（每日更新）"
21,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_003_0005","狂熱惡名菁英通緝令（每週更新）"
22,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_003_0006","取消"
23,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_004_0001","請選擇想要領取的通緝令。"
24,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_004_0002","初級總會怪物通緝令（每日更新）"
25,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_004_0003","中級總會怪物通緝令（每日更新）"
26,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_004_0004","高級總會怪物通緝令（每日更新）"
27,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_004_0005","總會惡名菁英通緝令（每週更新）"
28,"TEXT_COMDEFMOBHUNTBOARD_00202_TALK_ACTOR_004_0006","取消"
