key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKZI015_03551_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>圖姆拉村的伯莫圖好像有些在意人們的眼光。"
1,"TEXT_LUCKZI015_03551_SEQ_01",""
2,"TEXT_LUCKZI015_03551_SEQ_02",""
3,"TEXT_LUCKZI015_03551_SEQ_03",""
4,"TEXT_LUCKZI015_03551_SEQ_04",""
5,"TEXT_LUCKZI015_03551_SEQ_05",""
6,"TEXT_LUCKZI015_03551_SEQ_06",""
7,"TEXT_LUCKZI015_03551_SEQ_07",""
8,"TEXT_LUCKZI015_03551_SEQ_08",""
9,"TEXT_LUCKZI015_03551_SEQ_09",""
10,"TEXT_LUCKZI015_03551_SEQ_10",""
11,"TEXT_LUCKZI015_03551_SEQ_11",""
12,"TEXT_LUCKZI015_03551_SEQ_12",""
13,"TEXT_LUCKZI015_03551_SEQ_13",""
14,"TEXT_LUCKZI015_03551_SEQ_14",""
15,"TEXT_LUCKZI015_03551_SEQ_15",""
16,"TEXT_LUCKZI015_03551_SEQ_16",""
17,"TEXT_LUCKZI015_03551_SEQ_17",""
18,"TEXT_LUCKZI015_03551_SEQ_18",""
19,"TEXT_LUCKZI015_03551_SEQ_19",""
20,"TEXT_LUCKZI015_03551_SEQ_20",""
21,"TEXT_LUCKZI015_03551_SEQ_21",""
22,"TEXT_LUCKZI015_03551_SEQ_22",""
23,"TEXT_LUCKZI015_03551_SEQ_23",""
24,"TEXT_LUCKZI015_03551_TODO_00","在沃茨河上游獲得<hex:022811FF0A>EventItem<hex:F61E8F170103>"
25,"TEXT_LUCKZI015_03551_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8F170103>交給伯莫圖"
26,"TEXT_LUCKZI015_03551_TODO_02",""
27,"TEXT_LUCKZI015_03551_TODO_03",""
28,"TEXT_LUCKZI015_03551_TODO_04",""
29,"TEXT_LUCKZI015_03551_TODO_05",""
30,"TEXT_LUCKZI015_03551_TODO_06",""
31,"TEXT_LUCKZI015_03551_TODO_07",""
32,"TEXT_LUCKZI015_03551_TODO_08",""
33,"TEXT_LUCKZI015_03551_TODO_09",""
34,"TEXT_LUCKZI015_03551_TODO_10",""
35,"TEXT_LUCKZI015_03551_TODO_11",""
36,"TEXT_LUCKZI015_03551_TODO_12",""
37,"TEXT_LUCKZI015_03551_TODO_13",""
38,"TEXT_LUCKZI015_03551_TODO_14",""
39,"TEXT_LUCKZI015_03551_TODO_15",""
40,"TEXT_LUCKZI015_03551_TODO_16",""
41,"TEXT_LUCKZI015_03551_TODO_17",""
42,"TEXT_LUCKZI015_03551_TODO_18",""
43,"TEXT_LUCKZI015_03551_TODO_19",""
44,"TEXT_LUCKZI015_03551_TODO_20",""
45,"TEXT_LUCKZI015_03551_TODO_21",""
46,"TEXT_LUCKZI015_03551_TODO_22",""
47,"TEXT_LUCKZI015_03551_TODO_23",""
48,"TEXT_LUCKZI015_03551_BOMOTT_000_000","啦哩吼！你就是大家都在談論的那個<hex:020997E948FF10>旅行者吧？<hex:FF10>旅行者吧？<hex:FF1C>從外面來的矮人吧？<hex:FF10>旅行者吧？<hex:FF10>旅行者吧？<hex:FF10>旅行者吧？<hex:FF10>旅行者吧？<hex:FF10>旅行者吧？<hex:03><hex:02100103>拜託你，幫我個忙吧！<hex:02100103>這件事是絕對沒法去找村子裡的矮人幫忙的。"
49,"TEXT_LUCKZI015_03551_BOMOTT_000_001","謝謝你，這下我就放心了！<hex:02100103>我想請你去沃茨河上游<hex:02100103>撿3個<hex:022811FF0A>EventItem<hex:F61E8F170103>回來。"
50,"TEXT_LUCKZI015_03551_BOMOTT_000_002","我想請你去沃茨河上游<hex:02100103>撿3個<hex:022811FF0A>EventItem<hex:F61E8F170103>回來。我會給你準備謝禮的，拜託你了，這事只能靠你了！"
51,"TEXT_LUCKZI015_03551_BOMOTT_000_010","怎麼樣？<hex:02100103>找到<hex:022811FF0A>EventItem<hex:F61E8F170103>了嗎？"
52,"TEXT_LUCKZI015_03551_BOMOTT_000_011","就是這個！<hex:02100103>謝謝你，幫大忙了！"
53,"TEXT_LUCKZI015_03551_BOMOTT_000_012","……我覺得如果是你的話，跟你說一下這些東西的用途應該也沒問題。<hex:02100103>其實將這種小石頭溶解後與精油混合，<hex:02100103>就能做出止癢的乳膏。"
54,"TEXT_LUCKZI015_03551_BOMOTT_000_013","我們矮人是絕不會給家人以外的人看到臉的。<hex:02100103>因此我們一整天都要帶著這個頭盔……"
55,"TEXT_LUCKZI015_03551_BOMOTT_000_014","可是我的皮膚很敏感，把臉悶上就會覺得癢。<hex:02100103>我實在是受不了，所以必須要用這種塗膏才行，<hex:02100103>但是用這個東西，就會被別人認為還沒長大。"
56,"TEXT_LUCKZI015_03551_BOMOTT_000_015","所以說收集材料這件事，<hex:02100103>我不想讓這裡的矮人知道。<hex:02100103>多虧你幫我保住了名聲，真是太謝謝你了！"
57,"TEXT_LUCKZI015_03551_DWARF03551_000_000","（★未使用／削除予定★）"
58,"TEXT_LUCKZI015_03551_DWARF03551_000_001","（★未使用／削除予定★）"
59,"TEXT_LUCKZI015_03551_DWARF03551_000_002","（★未使用／削除予定★）"
60,"TEXT_LUCKZI015_03551_DWARF03551_000_010","（★未使用／削除予定★）"
61,"TEXT_LUCKZI015_03551_DWARF03551_000_011","（★未使用／削除予定★）"
62,"TEXT_LUCKZI015_03551_DWARF03551_000_012","（★未使用／削除予定★）"
63,"TEXT_LUCKZI015_03551_DWARF03551_000_013","（★未使用／削除予定★）"
64,"TEXT_LUCKZI015_03551_DWARF03551_000_014","（★未使用／削除予定★）"
65,"TEXT_LUCKZI015_03551_DWARF03551_000_015","（★未使用／削除予定★）"
