key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANMOG404_02305_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>憶念廣場的機靈的莫古艾克有事想要告訴冒險者。"
1,"TEXT_BANMOG404_02305_SEQ_01","※本任務為<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等級調整任務。<hex:02100103><hex:02100103>莫古艾克委託冒險者和擔任泉水設計的莫古力談談。和憶念廣場的負責基建的莫古力族談談。"
2,"TEXT_BANMOG404_02305_SEQ_02","和負責基建的莫古力族進行了交談，他委託冒險者向莫古力族設計師詢問製作方法後，製作泉水的修補部件。和翻雲霧海人王像的莫古力族設計師談談。"
3,"TEXT_BANMOG404_02305_SEQ_03","和莫古力族設計師進行了交談，詢問了修補部件的製作方法。從豎骨島的<hex:02280CFF05>EObj<hex:F61EA0CC0103>上獲取3個<hex:022811FF0A>EventItem<hex:F61E8C450103>。"
4,"TEXT_BANMOG404_02305_SEQ_04","獲得了3個<hex:022811FF0A>EventItem<hex:F61E8C450103>。交給人王像的莫古力族設計師。"
5,"TEXT_BANMOG404_02305_SEQ_05","將<hex:022811FF0A>EventItem<hex:F61E8C450103>交給了莫古力族設計師。用<hex:02280BFF05>Item<hex:F23D930103>製作<hex:02280DFF07>ItemHQ<hex:F23D790103>，並將其交給人王像的莫古力族設計師學徒。<hex:02100103><hex:02100103>※如果<hex:02280BFF05>Item<hex:F23D930103>不足，可以與莫古力族設計師對話重新獲得材料，並再次進行挑戰。"
6,"TEXT_BANMOG404_02305_SEQ_06","將<hex:02280DFF07>ItemHQ<hex:F23D790103>交給了莫古力族設計師學徒。這樣一來，泉水就一定能長久保存了。向憶念廣場的機靈的莫古艾克報告。"
7,"TEXT_BANMOG404_02305_SEQ_07","向莫古艾克報告完畢。他表示，費了如此心力建成的泉水，一定要讓它保存個兩千年、三千年。"
8,"TEXT_BANMOG404_02305_SEQ_08",""
9,"TEXT_BANMOG404_02305_SEQ_09",""
10,"TEXT_BANMOG404_02305_SEQ_10",""
11,"TEXT_BANMOG404_02305_SEQ_11",""
12,"TEXT_BANMOG404_02305_SEQ_12",""
13,"TEXT_BANMOG404_02305_SEQ_13",""
14,"TEXT_BANMOG404_02305_SEQ_14",""
15,"TEXT_BANMOG404_02305_SEQ_15",""
16,"TEXT_BANMOG404_02305_SEQ_16",""
17,"TEXT_BANMOG404_02305_SEQ_17",""
18,"TEXT_BANMOG404_02305_SEQ_18",""
19,"TEXT_BANMOG404_02305_SEQ_19",""
20,"TEXT_BANMOG404_02305_SEQ_20",""
21,"TEXT_BANMOG404_02305_SEQ_21",""
22,"TEXT_BANMOG404_02305_SEQ_22",""
23,"TEXT_BANMOG404_02305_SEQ_23",""
24,"TEXT_BANMOG404_02305_TODO_00","和負責基建的莫古力族對話"
25,"TEXT_BANMOG404_02305_TODO_01","和莫古力族設計師對話"
26,"TEXT_BANMOG404_02305_TODO_02","從<hex:02280CFF05>EObj<hex:F61EA0CC0103>上獲取<hex:022811FF0A>EventItem<hex:F61E8C450103>"
27,"TEXT_BANMOG404_02305_TODO_03","將<hex:022811FF0A>EventItem<hex:F61E8C450103>交給莫古力族設計師"
28,"TEXT_BANMOG404_02305_TODO_04","<hex:020870E3E802E803FF33>製作筆記 蠻族任務：製作<hex:02280DFF07>ItemHQ<hex:F23D790103><hex:FF35>將<hex:02280DFF07>ItemHQ<hex:F23D790103>交給莫古力族設計師學徒<hex:03>"
29,"TEXT_BANMOG404_02305_TODO_05","向機靈的莫古艾克報告"
30,"TEXT_BANMOG404_02305_TODO_06",""
31,"TEXT_BANMOG404_02305_TODO_07",""
32,"TEXT_BANMOG404_02305_TODO_08",""
33,"TEXT_BANMOG404_02305_TODO_09",""
34,"TEXT_BANMOG404_02305_TODO_10",""
35,"TEXT_BANMOG404_02305_TODO_11",""
36,"TEXT_BANMOG404_02305_TODO_12",""
37,"TEXT_BANMOG404_02305_TODO_13",""
38,"TEXT_BANMOG404_02305_TODO_14",""
39,"TEXT_BANMOG404_02305_TODO_15",""
40,"TEXT_BANMOG404_02305_TODO_16",""
41,"TEXT_BANMOG404_02305_TODO_17",""
42,"TEXT_BANMOG404_02305_TODO_18",""
43,"TEXT_BANMOG404_02305_TODO_19",""
44,"TEXT_BANMOG404_02305_TODO_20",""
45,"TEXT_BANMOG404_02305_TODO_21",""
46,"TEXT_BANMOG404_02305_TODO_22",""
47,"TEXT_BANMOG404_02305_TODO_23",""
48,"TEXT_BANMOG404_02305_MOGEK_000_000","廣場上負責設計泉水的同伴有想要商量的事，<hex:02100103>正在找冒險者庫啵。<hex:02100103>希望你能去聽聽他想說些什麼庫啵。"
49,"TEXT_BANMOG404_02305_MOGEK_000_001","負責基建的莫古力族應該就在泉水旁邊<hex:02100103>等著冒險者庫啵。"
50,"TEXT_BANMOG404_02305_DESIGNMOOGLE02305_000_010","冒險者，莫古等你好久了庫啵！<hex:02100103>多虧了大家的努力，泉水已經順利完成了庫啵！<hex:02100103>想和你商量的是維護泉水時所需材料的事情庫啵。"
51,"TEXT_BANMOG404_02305_DESIGNMOOGLE02305_000_011","人王像腳下的泉水，<hex:02100103>應該是千年以前建造的東西了，<hex:02100103>但依舊保存得很好庫啵。"
52,"TEXT_BANMOG404_02305_DESIGNMOOGLE02305_000_012","究竟是如何做到像那樣長久保存的庫啵？<hex:02100103>莫古和同伴的莫古力族設計師對此進行了研究庫啵。<hex:02100103>研究成果就是想到了一種新的修補部件庫啵！"
53,"TEXT_BANMOG404_02305_DESIGNMOOGLE02305_000_013","莫古想拜託冒險者製作那種新的修補部件庫啵。<hex:02100103>莫古力族設計師知道詳細的製作方法，<hex:02100103>你去問他就可以了庫啵！"
54,"TEXT_BANMOG404_02305_DESIGNMOOGLE02305_000_014","莫古想拜託冒險者製作那種新的修補部件庫啵。<hex:02100103>莫古力族設計師知道詳細的製作方法，<hex:02100103>你去問他就可以了庫啵！"
55,"TEXT_BANMOG404_02305_PONDMOOGLE02305_000_015","居然能保存1000年以上，真是讓人吃驚庫啵……"
56,"TEXT_BANMOG404_02305_RECEIPTMOOGLE02305_000_016","建造這個池子的人類們，<hex:02100103>一定掌握著非常先進的技術庫啵。<hex:02100103>太浪漫了庫啵！"
57,"TEXT_BANMOG404_02305_PONDMOOGLE02305_000_020","這個泉水真厲害庫啵！<hex:02100103>歷經了千年以上的洗禮，居然一點沒有風化，<hex:02100103>現在依舊保存完整庫啵，真讓人吃驚庫啵！"
58,"TEXT_BANMOG404_02305_PONDMOOGLE02305_000_021","為了讓莫古們建造的泉水也能像這樣長時間保存，<hex:02100103>需要準備<hex:02280DFF07>ItemHQ<hex:F23D790103>庫啵。<hex:02100103>請冒險者務必幫忙製作庫啵！"
