key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANSYL301_01277_SEQ_00","妖精暫留地的莫奇希亞想要藉助冒險者的力量。"
1,"TEXT_BANSYL301_01277_SEQ_01","莫奇希亞委託冒險者去討伐能產出乳根的魔物。討伐妖精領西部的<hex:02280DFF09>BNpcName<hex:A30103>或<hex:02280DFF09>BNpcName<hex:A60103>，收集6份<hex:022811FF0A>EventItem<hex:F61E88E20103>。"
2,"TEXT_BANSYL301_01277_SEQ_02","獲得了<hex:022811FF0A>EventItem<hex:F61E88E20103>。將<hex:022811FF0A>EventItem<hex:F61E88E20103>交給妖精暫留地的莫奇希亞。"
3,"TEXT_BANSYL301_01277_SEQ_03","將委託品交給了莫奇希亞。莫奇希亞對這一舉兩得的解決辦法感到很滿意，並感謝了冒險者。下次有機會再協助他。"
4,"TEXT_BANSYL301_01277_SEQ_04",""
5,"TEXT_BANSYL301_01277_SEQ_05",""
6,"TEXT_BANSYL301_01277_SEQ_06",""
7,"TEXT_BANSYL301_01277_SEQ_07",""
8,"TEXT_BANSYL301_01277_SEQ_08",""
9,"TEXT_BANSYL301_01277_SEQ_09",""
10,"TEXT_BANSYL301_01277_SEQ_10",""
11,"TEXT_BANSYL301_01277_SEQ_11",""
12,"TEXT_BANSYL301_01277_SEQ_12",""
13,"TEXT_BANSYL301_01277_SEQ_13",""
14,"TEXT_BANSYL301_01277_SEQ_14",""
15,"TEXT_BANSYL301_01277_SEQ_15",""
16,"TEXT_BANSYL301_01277_SEQ_16",""
17,"TEXT_BANSYL301_01277_SEQ_17",""
18,"TEXT_BANSYL301_01277_SEQ_18",""
19,"TEXT_BANSYL301_01277_SEQ_19",""
20,"TEXT_BANSYL301_01277_SEQ_20",""
21,"TEXT_BANSYL301_01277_SEQ_21",""
22,"TEXT_BANSYL301_01277_SEQ_22",""
23,"TEXT_BANSYL301_01277_SEQ_23",""
24,"TEXT_BANSYL301_01277_TODO_00","討伐<hex:02280DFF09>BNpcName<hex:A30103>或<hex:02280DFF09>BNpcName<hex:A60103><hex:02100103>獲取<hex:022811FF0A>EventItem<hex:F61E88E20103>"
25,"TEXT_BANSYL301_01277_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E88E20103>交給莫奇希亞"
26,"TEXT_BANSYL301_01277_TODO_02",""
27,"TEXT_BANSYL301_01277_TODO_03",""
28,"TEXT_BANSYL301_01277_TODO_04",""
29,"TEXT_BANSYL301_01277_TODO_05",""
30,"TEXT_BANSYL301_01277_TODO_06",""
31,"TEXT_BANSYL301_01277_TODO_07",""
32,"TEXT_BANSYL301_01277_TODO_08",""
33,"TEXT_BANSYL301_01277_TODO_09",""
34,"TEXT_BANSYL301_01277_TODO_10",""
35,"TEXT_BANSYL301_01277_TODO_11",""
36,"TEXT_BANSYL301_01277_TODO_12",""
37,"TEXT_BANSYL301_01277_TODO_13",""
38,"TEXT_BANSYL301_01277_TODO_14",""
39,"TEXT_BANSYL301_01277_TODO_15",""
40,"TEXT_BANSYL301_01277_TODO_16",""
41,"TEXT_BANSYL301_01277_TODO_17",""
42,"TEXT_BANSYL301_01277_TODO_18",""
43,"TEXT_BANSYL301_01277_TODO_19",""
44,"TEXT_BANSYL301_01277_TODO_20",""
45,"TEXT_BANSYL301_01277_TODO_21",""
46,"TEXT_BANSYL301_01277_TODO_22",""
47,"TEXT_BANSYL301_01277_TODO_23",""
48,"TEXT_BANSYL301_01277_MOXIA_000_000","冒險者，有件事想請你幫忙呼啾。<hex:02100103>壞妖精們最近很猖狂呼啾。"
49,"TEXT_BANSYL301_01277_MOXIA_000_001","那些傢伙可能是乳根吃太多了，<hex:02100103>我們不管怎樣對他們惡作劇，<hex:02100103>他們都無動於衷呼啾。"
50,"TEXT_BANSYL301_01277_MOXIA_000_002","對此，我有個好點子呼啾。<hex:02100103>我想請你去打倒那些能產出乳根的魔物呼啾！"
51,"TEXT_BANSYL301_01277_MOXIA_000_003","我想請你去除掉<hex:02280DFF09>BNpcName<hex:A30103>或<hex:02280DFF09>BNpcName<hex:A60103>，<hex:02100103>收集6份<hex:022811FF0A>EventItem<hex:F61E88E20103>呼啾！"
52,"TEXT_BANSYL301_01277_MOXIA_000_004","空欄"
53,"TEXT_BANSYL301_01277_MOXIA_000_010","我想請你去除掉<hex:02280DFF09>BNpcName<hex:A30103>或<hex:02280DFF09>BNpcName<hex:A60103>，<hex:02100103>收集6份<hex:022811FF0A>EventItem<hex:F61E88E20103>呼啾！"
54,"TEXT_BANSYL301_01277_MOXIA_000_020","冒險者朋友！<hex:02100103>你幹掉那些產出乳根的魔物了嗎呼啾？"
55,"TEXT_BANSYL301_01277_MOXIA_000_021","噢噢，幹得好呼啾。<hex:02100103>這下壞妖精們就有一陣子沒乳根用了呼啾！"
56,"TEXT_BANSYL301_01277_MOXIA_000_022","並且，我手裡有了這麼多的<hex:022811FF0A>EventItem<hex:F61E88E20103>……<hex:02100103>呼啾啾……真是一舉兩得呼啾。<hex:02100103>止不住笑啊呼啾……呼啾啾啾。"
