key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANPIX120_03708_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整（限定職業）<hex:0249020103><hex:0248020103><hex:02100103>※本任務需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>群花館的烏因·尼伊想在夢裡給孩子們看漂亮的花。"
1,"TEXT_BANPIX120_03708_SEQ_01",""
2,"TEXT_BANPIX120_03708_SEQ_02",""
3,"TEXT_BANPIX120_03708_SEQ_03",""
4,"TEXT_BANPIX120_03708_SEQ_04",""
5,"TEXT_BANPIX120_03708_SEQ_05",""
6,"TEXT_BANPIX120_03708_SEQ_06",""
7,"TEXT_BANPIX120_03708_SEQ_07",""
8,"TEXT_BANPIX120_03708_SEQ_08",""
9,"TEXT_BANPIX120_03708_SEQ_09",""
10,"TEXT_BANPIX120_03708_SEQ_10",""
11,"TEXT_BANPIX120_03708_SEQ_11",""
12,"TEXT_BANPIX120_03708_SEQ_12",""
13,"TEXT_BANPIX120_03708_SEQ_13",""
14,"TEXT_BANPIX120_03708_SEQ_14",""
15,"TEXT_BANPIX120_03708_SEQ_15",""
16,"TEXT_BANPIX120_03708_SEQ_16",""
17,"TEXT_BANPIX120_03708_SEQ_17",""
18,"TEXT_BANPIX120_03708_SEQ_18",""
19,"TEXT_BANPIX120_03708_SEQ_19",""
20,"TEXT_BANPIX120_03708_SEQ_20",""
21,"TEXT_BANPIX120_03708_SEQ_21",""
22,"TEXT_BANPIX120_03708_SEQ_22",""
23,"TEXT_BANPIX120_03708_SEQ_23",""
24,"TEXT_BANPIX120_03708_TODO_00","在花侯爵凱旋路附近獲取<hex:022811FF0A>EventItem<hex:F61E8FFD0103>"
25,"TEXT_BANPIX120_03708_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8FFD0103>交給烏因·尼伊"
26,"TEXT_BANPIX120_03708_TODO_02",""
27,"TEXT_BANPIX120_03708_TODO_03",""
28,"TEXT_BANPIX120_03708_TODO_04",""
29,"TEXT_BANPIX120_03708_TODO_05",""
30,"TEXT_BANPIX120_03708_TODO_06",""
31,"TEXT_BANPIX120_03708_TODO_07",""
32,"TEXT_BANPIX120_03708_TODO_08",""
33,"TEXT_BANPIX120_03708_TODO_09",""
34,"TEXT_BANPIX120_03708_TODO_10",""
35,"TEXT_BANPIX120_03708_TODO_11",""
36,"TEXT_BANPIX120_03708_TODO_12",""
37,"TEXT_BANPIX120_03708_TODO_13",""
38,"TEXT_BANPIX120_03708_TODO_14",""
39,"TEXT_BANPIX120_03708_TODO_15",""
40,"TEXT_BANPIX120_03708_TODO_16",""
41,"TEXT_BANPIX120_03708_TODO_17",""
42,"TEXT_BANPIX120_03708_TODO_18",""
43,"TEXT_BANPIX120_03708_TODO_19",""
44,"TEXT_BANPIX120_03708_TODO_20",""
45,"TEXT_BANPIX120_03708_TODO_21",""
46,"TEXT_BANPIX120_03708_TODO_22",""
47,"TEXT_BANPIX120_03708_TODO_23",""
48,"TEXT_BANPIX120_03708_UINNEE_000_001","在群花館東邊，有一棵巨大的花樹對吧？<hex:02100103>那棵樹就像是花兒們的首領一樣，<hex:02100103>所以我們管它叫做花侯爵。"
49,"TEXT_BANPIX120_03708_UINNEE_000_002","那附近的花都像是仰慕著花侯爵似的，開得格外美麗。<hex:02100103>所以我們經常採那邊的花，來裝飾群花館。"
50,"TEXT_BANPIX120_03708_UINNEE_000_003","話說回來，由於安穆·艾蘭的孩子們住在植物稀少的沙漠之中，<hex:02100103>所以都沒怎麼見過鮮花呢。<hex:02100103>在夢裡，我想要給他們看看伊爾美格最引以為豪的花！"
51,"TEXT_BANPIX120_03708_UINNEE_000_004","你能不能去花侯爵凱旋路那邊，<hex:02100103>幫我採3朵<hex:022811FF0A>EventItem<hex:F61E8FFD0103>呢？<hex:02100103>要特別可愛的那種哦！"
52,"TEXT_BANPIX120_03708_UINNEE_000_020","你找到特別可愛的<hex:022811FF0A>EventItem<hex:F61E8FFD0103>了嗎？"
53,"TEXT_BANPIX120_03708_UINNEE_000_021","嗯，太完美了！<hex:02100103>安穆·艾蘭的孩子們看到了這些花的話，<hex:02100103>肯定會非常高興吧！"
54,"TEXT_BANPIX120_03708_UINNEE_000_022","花侯爵從以前開始，就一直被仰慕著呢。<hex:02100103>它原本是和食罪靈戰至最後的人類將軍，<hex:02100103>在即將殞命的時候，我們把他變成了花。"
55,"TEXT_BANPIX120_03708_UINNEE_000_023","他以前是真正的侯爵也說不定呢。<hex:02100103>如今，能夠永遠地活在拼上性命守護的土地之上，<hex:02100103>想必，他一定在非常幸福地看著伊爾美格吧！"
56,"TEXT_BANPIX120_03708_UINNEE_000_024","過去被人類所仰慕，現在被花兒所仰慕，<hex:02100103>花侯爵的周圍總是聚集著優秀的傢伙呢！<hex:02100103>好了，我要準備把這些花帶到夢裡啦！"
