key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANSAH305_01404_SEQ_00","諾布養育場的塞烏有事情想要委託給冒險者。"
1,"TEXT_BANSAH305_01404_SEQ_01","塞烏委託冒險者去海蛇巢穴打倒統領海蛇之舌的3名幹部。討伐2名<hex:02280FFF09>BNpcName<hex:F2015B0103>後<hex:02280FFF09>BNpcName<hex:F20AB20103>就會出現，討伐2名<hex:02280FFF09>BNpcName<hex:F2022F0103>後<hex:02280FFF09>BNpcName<hex:F20AB30103>就會出現，討伐2名<hex:02280FFF09>BNpcName<hex:F201590103>後<hex:02280FFF09>BNpcName<hex:F20AB40103>就會出現，等他們出現後就將其討伐。"
2,"TEXT_BANSAH305_01404_SEQ_02","成功討伐了海蛇之舌的幹部。向諾布養育場的塞烏報告。"
3,"TEXT_BANSAH305_01404_SEQ_03","向塞烏報告完畢。冒險者討伐了這些幹部，能暫時讓海蛇之舌不會有太大動作。當他們重新活躍起來時，就再次協助討伐行動。"
4,"TEXT_BANSAH305_01404_SEQ_04",""
5,"TEXT_BANSAH305_01404_SEQ_05",""
6,"TEXT_BANSAH305_01404_SEQ_06",""
7,"TEXT_BANSAH305_01404_SEQ_07",""
8,"TEXT_BANSAH305_01404_SEQ_08",""
9,"TEXT_BANSAH305_01404_SEQ_09",""
10,"TEXT_BANSAH305_01404_SEQ_10",""
11,"TEXT_BANSAH305_01404_SEQ_11",""
12,"TEXT_BANSAH305_01404_SEQ_12",""
13,"TEXT_BANSAH305_01404_SEQ_13",""
14,"TEXT_BANSAH305_01404_SEQ_14",""
15,"TEXT_BANSAH305_01404_SEQ_15",""
16,"TEXT_BANSAH305_01404_SEQ_16",""
17,"TEXT_BANSAH305_01404_SEQ_17",""
18,"TEXT_BANSAH305_01404_SEQ_18",""
19,"TEXT_BANSAH305_01404_SEQ_19",""
20,"TEXT_BANSAH305_01404_SEQ_20",""
21,"TEXT_BANSAH305_01404_SEQ_21",""
22,"TEXT_BANSAH305_01404_SEQ_22",""
23,"TEXT_BANSAH305_01404_SEQ_23",""
24,"TEXT_BANSAH305_01404_TODO_00","在海蛇巢穴討伐2名<hex:02280FFF09>BNpcName<hex:F2015B0103><hex:02100103>引出<hex:02280FFF09>BNpcName<hex:F20AB20103>後將其討伐"
25,"TEXT_BANSAH305_01404_TODO_01","在海蛇巢穴討伐2名<hex:02280FFF09>BNpcName<hex:F2022F0103><hex:02100103>引出<hex:02280FFF09>BNpcName<hex:F20AB30103>後將其討伐"
26,"TEXT_BANSAH305_01404_TODO_02","在海蛇巢穴討伐2名<hex:02280FFF09>BNpcName<hex:F201590103><hex:02100103>引出<hex:02280FFF09>BNpcName<hex:F20AB40103>後將其討伐"
27,"TEXT_BANSAH305_01404_TODO_03","向塞烏報告"
28,"TEXT_BANSAH305_01404_TODO_04",""
29,"TEXT_BANSAH305_01404_TODO_05",""
30,"TEXT_BANSAH305_01404_TODO_06",""
31,"TEXT_BANSAH305_01404_TODO_07",""
32,"TEXT_BANSAH305_01404_TODO_08",""
33,"TEXT_BANSAH305_01404_TODO_09",""
34,"TEXT_BANSAH305_01404_TODO_10",""
35,"TEXT_BANSAH305_01404_TODO_11",""
36,"TEXT_BANSAH305_01404_TODO_12",""
37,"TEXT_BANSAH305_01404_TODO_13",""
38,"TEXT_BANSAH305_01404_TODO_14",""
39,"TEXT_BANSAH305_01404_TODO_15",""
40,"TEXT_BANSAH305_01404_TODO_16",""
41,"TEXT_BANSAH305_01404_TODO_17",""
42,"TEXT_BANSAH305_01404_TODO_18",""
43,"TEXT_BANSAH305_01404_TODO_19",""
44,"TEXT_BANSAH305_01404_TODO_20",""
45,"TEXT_BANSAH305_01404_TODO_21",""
46,"TEXT_BANSAH305_01404_TODO_22",""
47,"TEXT_BANSAH305_01404_TODO_23",""
48,"TEXT_BANSAH305_01404_SEWW_000_000","呼嘶……最近海蛇之舌的行為真是越來越卑劣。"
49,"TEXT_BANSAH305_01404_SEWW_000_001","為了打壓他們，<hex:02100103>我想請你去打倒他們的3名幹部。"
50,"TEXT_BANSAH305_01404_SEWW_000_002","呼嘶……首先你要進入海蛇巢穴，<hex:02100103>打倒一些海蛇之舌的海盜，<hex:02100103>那些幹部發覺異樣後應該就會出現的。"
51,"TEXT_BANSAH305_01404_SEWW_000_003","為了打壓他們，<hex:02100103>我想請你去打倒他們的3名幹部。"
52,"TEXT_BANSAH305_01404_SEWW_000_004","呼嘶……首先你要進入海蛇巢穴，<hex:02100103>打倒一些海蛇之舌的海盜，<hex:02100103>那些幹部發覺異樣後應該就會出現的。"
53,"TEXT_BANSAH305_01404_BALLOON_000_010","這是為了水神大人！"
54,"TEXT_BANSAH305_01404_BALLOON_000_011","我要守護水神大人！"
55,"TEXT_BANSAH305_01404_BALLOON_000_012","水神大人……請給我力量！"
56,"TEXT_BANSAH305_01404_POP_MESSAGE_000_000","<hex:02280FFF09>BNpcName<hex:F20AB20103>出現了！"
57,"TEXT_BANSAH305_01404_POP_MESSAGE_000_001","<hex:02280FFF09>BNpcName<hex:F20AB30103>出現了！"
58,"TEXT_BANSAH305_01404_POP_MESSAGE_000_002","<hex:02280FFF09>BNpcName<hex:F20AB40103>出現了！"
59,"TEXT_BANSAH305_01404_POP_MESSAGE","（★未使用／削除予定★）"
60,"TEXT_BANSAH305_01404_SEWW_000_010","呼嘶……做得好……<hex:02100103>幹掉了他們的幹部，<hex:02100103>海蛇之舌應該就會有所收斂了……多謝。"
