key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKZC015_03398_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>篤學者莊園的喜歡華麗的仙子好像在想什麼事。"
1,"TEXT_LUCKZC015_03398_SEQ_01",""
2,"TEXT_LUCKZC015_03398_SEQ_02",""
3,"TEXT_LUCKZC015_03398_SEQ_03",""
4,"TEXT_LUCKZC015_03398_SEQ_04",""
5,"TEXT_LUCKZC015_03398_SEQ_05",""
6,"TEXT_LUCKZC015_03398_SEQ_06",""
7,"TEXT_LUCKZC015_03398_SEQ_07",""
8,"TEXT_LUCKZC015_03398_SEQ_08",""
9,"TEXT_LUCKZC015_03398_SEQ_09",""
10,"TEXT_LUCKZC015_03398_SEQ_10",""
11,"TEXT_LUCKZC015_03398_SEQ_11",""
12,"TEXT_LUCKZC015_03398_SEQ_12",""
13,"TEXT_LUCKZC015_03398_SEQ_13",""
14,"TEXT_LUCKZC015_03398_SEQ_14",""
15,"TEXT_LUCKZC015_03398_SEQ_15",""
16,"TEXT_LUCKZC015_03398_SEQ_16",""
17,"TEXT_LUCKZC015_03398_SEQ_17",""
18,"TEXT_LUCKZC015_03398_SEQ_18",""
19,"TEXT_LUCKZC015_03398_SEQ_19",""
20,"TEXT_LUCKZC015_03398_SEQ_20",""
21,"TEXT_LUCKZC015_03398_SEQ_21",""
22,"TEXT_LUCKZC015_03398_SEQ_22",""
23,"TEXT_LUCKZC015_03398_SEQ_23",""
24,"TEXT_LUCKZC015_03398_TODO_00","在水下獲得<hex:022811FF0A>EventItem<hex:F61E8ECC0103>"
25,"TEXT_LUCKZC015_03398_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8ECC0103>交給喜歡華麗的仙子"
26,"TEXT_LUCKZC015_03398_TODO_02","將<hex:022811FF0A>EventItem<hex:F61E8ECD0103>放置在<hex:02280CFF05>EObj<hex:F61EAC320103>"
27,"TEXT_LUCKZC015_03398_TODO_03","和喜歡華麗的仙子對話"
28,"TEXT_LUCKZC015_03398_TODO_04",""
29,"TEXT_LUCKZC015_03398_TODO_05",""
30,"TEXT_LUCKZC015_03398_TODO_06",""
31,"TEXT_LUCKZC015_03398_TODO_07",""
32,"TEXT_LUCKZC015_03398_TODO_08",""
33,"TEXT_LUCKZC015_03398_TODO_09",""
34,"TEXT_LUCKZC015_03398_TODO_10",""
35,"TEXT_LUCKZC015_03398_TODO_11",""
36,"TEXT_LUCKZC015_03398_TODO_12",""
37,"TEXT_LUCKZC015_03398_TODO_13",""
38,"TEXT_LUCKZC015_03398_TODO_14",""
39,"TEXT_LUCKZC015_03398_TODO_15",""
40,"TEXT_LUCKZC015_03398_TODO_16",""
41,"TEXT_LUCKZC015_03398_TODO_17",""
42,"TEXT_LUCKZC015_03398_TODO_18",""
43,"TEXT_LUCKZC015_03398_TODO_19",""
44,"TEXT_LUCKZC015_03398_TODO_20",""
45,"TEXT_LUCKZC015_03398_TODO_21",""
46,"TEXT_LUCKZC015_03398_TODO_22",""
47,"TEXT_LUCKZC015_03398_TODO_23",""
48,"TEXT_LUCKZC015_03398_PIXIE03398_000_000","嗯，怎麼辦呢……<hex:02100103>……對了！你幫幫我吧！<hex:02100103>你是於里昂熱的朋友吧？"
49,"TEXT_LUCKZC015_03398_PIXIE03398_000_001","我想把於里昂熱的屋子裝飾得再可愛一點！<hex:02100103>如果他知道你也幫忙了，肯定會很高興的！"
50,"TEXT_LUCKZC015_03398_PIXIE03398_000_002","我想想……既然要做，那乾脆用上<hex:022811FF0A>EventItem<hex:F61E8ECC0103>吧！<hex:02100103>那是在水中生長的特別可愛的草哦。<hex:02100103>平時我都是拜託水妖族去找呢。"
51,"TEXT_LUCKZC015_03398_PIXIE03398_000_003","但是，你也很擅長游泳吧？<hex:02100103>那就請你去採集<hex:022811FF0A>EventItem<hex:F61E8ECC0103>吧！<hex:02100103>那種草應該就生長在身鏡湖的沉沒教會附近！"
52,"TEXT_LUCKZC015_03398_PIXIE03398_000_004","我會在這段時間去摘點花來！<hex:02100103>等你拿到<hex:022811FF0A>EventItem<hex:F61E8ECC0103>，就來篤學者莊園吧！<hex:02100103>我們一起來裝飾屋子！"
53,"TEXT_LUCKZC015_03398_PIXIE03398_000_010","你拿到<hex:022811FF0A>EventItem<hex:F61E8ECC0103>了嗎？"
54,"TEXT_LUCKZC015_03398_PIXIE03398_000_011","太好了！這樣就準備完畢了！<hex:02100103><hex:022811FF0A>EventItem<hex:F61E8ECC0103>因為是在水中生長的，<hex:02100103>如果我們不給它施加魔法，它是不能在屋子裡存活的。"
55,"TEXT_LUCKZC015_03398_PIXIE03398_000_012","那我就來讓蔓草生長起來！<hex:02100103>你到屋子裡去，<hex:02100103>用這個<hex:022811FF0A>EventItem<hex:F61E8ECD0103>裝點一下！"
56,"TEXT_LUCKZC015_03398_PIXIE03398_000_013","就裝點在，我想想……就在樓梯上吧。<hex:02100103>總覺得那裡沒什麼亮點，裝飾得可愛一點准沒錯！<hex:02100103>那就拜託你了！"
57,"TEXT_LUCKZC015_03398_PIXIE03398_000_020","呵呵呵！真棒啊！<hex:02100103>這就是你我協力進行裝飾的結果。<hex:02100103>就算是那個面無表情的於里昂熱肯定也會很高興的！"
58,"TEXT_LUCKZC015_03398_PIXIE03398_000_021","那樣的話，他肯定會想一直住在這裡了！<hex:02100103>你肯定也是這樣想的吧？"
